,1th value,2th value,3th value,4th value,5th value,6th value,7th value,8th value,9th value,10th value,11th value,12th value,13th value,14th value,15th value,16th value,17th value,18th value,19th value,20th value,21th value,22th value,23th value,24th value,25th value,26th value,27th value,28th value,29th value,30th value,31th value,32th value,33th value,34th value,35th value,36th value,37th value,38th value,39th value,40th value,41th value,42th value,43th value,44th value,45th value,46th value,47th value,48th value,49th value,50th value,51th value,52th value,53th value,54th value,55th value,56th value,57th value,58th value,59th value,60th value,61th value,62th value,63th value,64th value,65th value,66th value,67th value,68th value,69th value,70th value,71th value,72th value,73th value,74th value,75th value,76th value,77th value,78th value,79th value,80th value,81th value,82th value,83th value,84th value,85th value,86th value,87th value,88th value,89th value,90th value,91th value,92th value,93th value,94th value,95th value,96th value,97th value,98th value,99th value,100th value,101th value,102th value,103th value,104th value,105th value,106th value,107th value,108th value,109th value,110th value,111th value,112th value,113th value,114th value,115th value,116th value,117th value,118th value,119th value,120th value,121th value,122th value,123th value,124th value,125th value,126th value,127th value,128th value,129th value,130th value,131th value,132th value,133th value,134th value,135th value,136th value,137th value,138th value,139th value,140th value,141th value,142th value,143th value,144th value,145th value,146th value,147th value,148th value,149th value,150th value,151th value,152th value,153th value,154th value,155th value,156th value,157th value,158th value,159th value,160th value,161th value,162th value,163th value,164th value,165th value,166th value,167th value,168th value,169th value,170th value,171th value,172th value,173th value,174th value,175th value,176th value,177th value,178th value,179th value,180th value,181th value,182th value,183th value,184th value,185th value,186th value,187th value,188th value,189th value,190th value,191th value,192th value,193th value,194th value,195th value,196th value,197th value,198th value,199th value,200th value,201th value,202th value,203th value,204th value,205th value,206th value,207th value,208th value,209th value,210th value,211th value,212th value,213th value,214th value,215th value,216th value,217th value,218th value,219th value,220th value,221th value,222th value,223th value,224th value,225th value,226th value,227th value,228th value,229th value,230th value,231th value,232th value,233th value,234th value,235th value,236th value,237th value,238th value,239th value,240th value,241th value,242th value,243th value,244th value,245th value,246th value,247th value,248th value,249th value,250th value,genre,type
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,44,306,173,23,41,1926,9,909,1001,854,218,54,2,153,122,243,395,77,102,36,354,9,6,24,4,18,658,233,305,127,17,507,786,24,1,7,11,216,22,23,41,75,10,9,12,31,189,23,41,184,18,58,9,12,200,231,1,627,8,39,68,35,135,611,68,549,61,189,505,14,50,1038,3206,105,100,417,54,136,401,9,12,17,306,2,30,23,41,87,971,254,184,18,58,9,12,200,231,1,627,8,39,68,35,135,611,68,549,61,189,505,14,50,1038,3206,105,100,417,54,136,35,63,1,51,44,164,670,8,68,54,129,147,64,22,129,243,87,87,33,189,229,1,171,512,1,242,27,4156,92,39,68,184,61,189,1071,50,1038,3206,105,100,417,54,136,271,1,132,36,26,8,175,64,18,0,train
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,8,35,2287,2,352,1192,1,436,607,22,563,250,14,40,5,8,63,1,524,83,925,22,68,277,27,34,563,910,126,1442,4,1474,308,161,110,951,191,276,17,122,340,1165,1,322,428,162,4,15,42,35,64,82,50,317,40,9,6,253,3,244,1,283,213,355,784,216,68,450,1,15,137,563,815,129,141,2,14,76,3,35,159,64,24,323,174,260,16,229,1669,1,75,120,16,717,30,120,141,48,331,163,61,145,222,168,4,15,122,253,3,244,1,283,213,355,784,216,68,450,1,15,137,563,815,129,141,2,14,76,3,35,159,64,24,323,174,260,16,229,1669,1,75,120,16,33,17,23,144,9,12,146,68,216,123,272,43,9,78,1,64,24,283,213,355,784,216,68,283,213,355,784,216,68,450,1,15,137,563,815,129,141,2,14,76,3,35,159,64,24,61,1887,1,229,1669,1,75,120,16,0,train
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,20,19,2,184,126,66,52,4,33,163,35,26,1475,2,161,1013,3,30,1607,1670,429,359,18,13,210,219,132,67,15,143,95,19,2,3851,38,632,175,535,143,153,349,2586,52,4,611,2,119,9,6,156,525,89,38,5,73,10,165,61,219,7,6,33,113,42,167,57,11,33,163,320,42,8,366,22,229,89,29,14,17,193,33,320,92,632,175,535,143,153,196,2,1522,4,952,7,11,2,119,9,6,156,525,146,29,14,68,54,364,278,38,254,92,33,113,42,167,184,33,172,320,42,8,366,22,229,89,29,14,17,193,33,320,92,193,33,320,92,0,train
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767,31,1,69,4,925,2,766,292,4,2507,69,4,157,16,5,71,2355,497,193,156,513,22,2355,497,26,8,320,766,2355,497,2689,202,685,22,2355,497,512,33,176,24,36,92,2355,497,193,156,513,22,2355,497,26,8,320,766,2355,497,2689,202,685,22,2355,497,512,33,176,24,36,92,0,train
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,718,2906,125,71,18,181,1412,425,14,130,16,71,45,3,17,18,1498,71,5,156,2,161,1013,3,255,1412,466,49,19,370,4,1027,8,14,18,239,6,24,525,1,425,14,1352,665,14,1,381,16,1608,31,47,299,2508,293,67,64,149,84,13,153,232,18,816,735,19,334,4,293,1193,31,1,2225,735,334,4,345,7,1201,345,7,1201,293,1193,31,1,775,12,70,20,146,13,2796,553,2,1968,1,22,102,29,15,59,4,164,81,826,12,326,155,6,5,156,2,74,2,1071,279,202,31,1,108,302,553,27,161,744,51,44,216,22,59,4,45,53,58,7,53,209,744,217,64,144,279,64,42,78,18,159,24,2,15,2,119,279,718,2906,125,71,18,181,1412,29,517,0,train
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,8,6279,40,8,1636,1,29,15,128,10,103,16,14,918,27,17,56,541,6280,8,566,16,71,194,19,330,4,9,27,79,4,708,129,155,11,229,55,24,186,2,119,26,8,659,172,622,579,33,302,249,15,66,10,916,234,22,215,351,11,1849,4,9,628,1059,19,3,1574,243,84,49,10,9,628,953,2,68,9,6,622,37,209,30,299,164,89,129,57,11,229,768,1,30,206,2288,26,8,15,131,363,146,24,3,136,581,11,100,226,226,15,33,176,29,15,154,4,1304,9,12,175,15,20,18,57,102,36,9,831,49,2,154,99,1671,12,308,659,622,3,345,84,77,0,train
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,6,2289,26,8,2,82,4,185,23,3,2356,109,1,375,12,24,159,29,15,49,10,14,131,6,2289,26,8,552,312,121,124,1,5,8,24,159,793,361,3604,66,16,1850,1114,427,2,217,440,139,2,188,491,1150,5474,12,70,243,785,148,6,2289,26,8,287,46,43,40,9,6,993,12,287,263,40,529,349,2068,6,141,4,2226,35,169,40,9,60,632,1,13,153,4,59,105,251,27,15,9,6,898,1198,1139,579,7,6,59,3,393,249,7,6,1927,131,2289,7,6,1927,131,2289,7,6,1927,131,2289,7,6,1927,131,2289,7,6,131,2289,7,6,131,2289,0,train
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,42,6,156,108,2,20,23,27,41,520,46,5,140,10,546,378,393,2164,376,3036,185,1140,745,6,1851,352,185,466,158,1081,42,553,3852,2019,4,2,73,3,270,1476,1214,1,2,59,395,20,101,454,23,4,494,103,30,1245,43,35,566,6,427,855,152,46,211,6,603,152,1966,22,3852,2019,4,2,73,3,270,1476,1214,1,2,59,395,20,101,454,23,4,494,34,926,1272,1443,109,22,103,30,1245,0,train
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,60,63,1,40,282,18,74,1,30,15,66,2,234,55,9,43,15,7,11,9,6,91,3,214,7,11,229,267,1,263,9,16,150,41,73,402,397,260,7,196,27,387,65,397,260,9,8,14,121,479,16,14,51,44,1072,1152,23,27,41,1,7,78,24,159,391,46,58,24,159,1672,3,70,1153,22,9,8,46,159,24,10,277,16,135,7,11,9,8,2,2020,55,816,136,34,11,9,14,618,41,9,8,14,7,6,156,3,34,11,945,1,14,5,328,105,207,9,8,15,9,16,150,41,73,794,102,36,7,196,27,387,65,77,102,36,9,8,14,121,479,16,14,9,8,7,6,164,794,1,7,78,24,159,391,46,58,24,159,1672,3,70,1153,22,9,8,46,159,24,10,277,16,0,train
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1411,42,24,52,4,215,321,124,3,5,5475,21,70,505,14,327,27,602,2,76,3,3853,232,250,4,349,42,156,790,20,6,109,95,16,253,313,16,126,214,91,171,298,98,181,1046,63,946,876,139,4,585,127,63,946,1305,42,2904,4,215,178,3,1638,37,191,505,14,327,27,602,2,558,59,52,1115,240,424,42,156,855,1771,212,4,283,113,74,16,1,214,91,171,298,98,181,1046,63,946,876,572,4,585,127,63,946,6281,6,91,171,24,44,332,90,0,train
